index,speaker,file,rec_date,ipu,prompt,word,time,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel,voicing_start,voicing_end,voicing_duration,voiced_points,GONS,max,NOFF,NONS,peak1,peak2,c1_duration,c1_clos_duration,c1_vot,c1_rvoff,v1_duration,c2_duration,c2_clos_duration,v2_duration,v_v,word_duration,sentence_duration,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place,speech_rate,speech_rate_c,f1,f2,f3,f0
40,pl05,pl05-040,26/05/2017 18:32:49,ipu_40,Mowie poto teraz,poto,89.624989,0.692562696145103,1.81251669614511,0.99984197326863,1.422531710802886,1.1283257446199286,1.2220319538009363,1.323466510130899,1.094210159640994,1.31017847332366,1.1310070141837534,1.2259036341358331,94.89661995207976,0,1.115,1.2765,1.283,1.269,1.2085,1.3265,128.48377135129851,94.368186372364,36.79685454275927,127.8217941599422,93.7062091810077,101.4345563299628,88.14651952272357,99.065200671987,195.14076551097048,422.689737534256,1.119954000000007,Polish,m,poli1260,33,poto,p,voiceless,o,back,mid,t,voiceless,coronal,5.357362891690161,-0.0952182051163808,568.1036126607905,939.2157706002668,2621.9441070472176,140.0395673011891
41,pl05,pl05-041,26/05/2017 18:32:52,ipu_41,Mowie pudu teraz,pudu,91.604943,0.6523806417233402,1.7523806417233343,0.9217129020206444,1.362228689510772,1.0823806417233328,1.1844767050849327,1.2623806417233396,1.041441204672111,1.240601192150848,1.0851142479378817,1.227117986371283,142.00373843340142,5,1.077,NA,NA,NA,NA,NA,160.66773970268855,119.72830265146683,43.673043265770595,143.03550041282165,102.09606336159992,77.90393663840689,56.12448706591522,99.8480477874324,180.00000000000682,440.51578749012776,1.0999999999999943,Polish,m,poli1260,42,pudu,p,voiceless,u,back,high,d,voiced,coronal,5.454545454545483,0.00196435773894076,353.35808080378456,796.4805154593255,2603.317620359198,142.00170581293787
42,pl05,pl05-042,26/05/2017 18:32:55,ipu_42,Mowie podo teraz,podo,93.594966,0.6687074965986142,1.7286624965986164,0.9187074965986142,1.3601261967494906,1.0519583541851176,1.1765779519619315,1.245167032908867,1.0213254324692826,1.23465679717836,1.048723851361176,1.3619007920039914,313.17694064281557,5,1.051,1.0995,1.23,1.094,1.0835,1.2625,133.25085758650346,102.61793587066848,27.398418891893208,155.25251949264884,124.61959777681386,68.58908094693561,58.07884521642848,114.95916384062356,193.20867872374947,441.4187001508765,1.0599550000000022,Polish,m,poli1260,34,podo,p,voiceless,o,back,mid,d,voiced,coronal,5.660617667731166,0.2080365709246239,571.6833995389728,964.13051617681,2657.486645542108,152.17145701053636
43,pl05,pl05-043,26/05/2017 18:32:58,ipu_43,Mowie pugu teraz,pugu,95.729977,0.7951924195011202,1.815147419501116,1.0651924195011162,1.449383262095509,1.1951924195011117,1.2658350173079498,1.3624393566698243,1.1601193539374322,1.339455671560259,1.1973954992782456,1.4680931046583443,270.6976053800987,5,1.258,NA,NA,NA,NA,NA,129.99999999999545,94.92693443631596,37.27614534081347,105.71566337051765,70.64259780683813,96.60433936187474,73.62065425230924,86.94390542568442,167.24693716871286,384.19084259439273,1.019954999999996,Polish,m,poli1260,44,pugu,p,voiceless,u,back,high,g,voiced,velar,5.8826124681971494,0.43003137139060765,384.7587241807885,733.2935711584666,2348.702737124457,147.6895406292563
44,pl05,pl05-044,26/05/2017 18:33:01,ipu_44,Mowie pada teraz,pada,97.769977,0.7570064784580239,1.8519724784580232,1.0366733521047138,1.481335817947155,1.1625414980529882,1.3035838335213157,1.3570064784580325,1.144995342932262,NA,1.1628420508522683,1.4835352399782502,320.69318912598163,5,1.15,1.2305,1.442,1.219,1.1915,1.4775,125.86814594827445,108.32199082754812,17.846707920006644,158.58849058905378,141.04233546832745,53.42264493671678,NA,124.3293394891225,194.46498040504423,444.6624658424412,1.0949659999999994,Polish,m,poli1260,26,pada,p,voiceless,a,central,low,d,voiced,coronal,5.4796221983148365,0.02704110150829475,708.4880045598062,1155.0872180590216,2542.773337105109,136.98713319131048
45,pl05,pl05-045,26/05/2017 18:33:04,ipu_45,Mowie poko teraz,poko,99.874966,0.7721995600906837,1.832199560090686,1.064424433106879,1.4643663980650246,1.1921995600906854,1.28468232685195,1.3890150133627657,1.1615216661583787,1.3603221889324857,1.1942462489021333,1.2953055856295848,101.0593367274515,1,1.16,1.3465,1.355,1.334,1.2125,1.4155,127.77512698380632,97.09723305149964,32.72458274375456,123.16066069357134,92.48276676126466,104.33268651081562,75.63986208053564,75.35138470225888,196.81545327208028,399.9419649581455,1.0600000000000025,Polish,m,poli1260,35,poko,p,voiceless,o,back,mid,k,voiceless,velar,5.660377358490554,0.20779626168401233,602.3353687050584,920.0705178092752,2313.8191835986354,135.85670337768724
46,pl05,pl05-046,26/05/2017 18:33:07,ipu_46,Mowie paka teraz,paka,101.959955,0.6977327777777447,1.7677097777777533,0.9863694133713494,1.417224766925301,1.1167852715098832,1.2346425655313595,1.3380092086485575,1.0971020222793442,1.3065136054757431,1.115902764075299,1.2435021051718762,127.59934109657722,0,1.123,1.2905,1.304,1.276,1.1995,1.3735,130.41585813853374,110.73260890799476,18.800741795954817,137.54054325201537,117.85729402147638,103.366643117198,71.8710399443836,79.21555827674354,221.2239371386744,430.85535355395166,1.0699770000000086,Polish,m,poli1260,27,paka,p,voiceless,a,central,low,k,voiceless,velar,5.60759717264946,0.15501607584291843,741.6658778682042,1221.1167696125362,2326.313865519676,126.3199388555794
47,pl05,pl05-047,26/05/2017 18:33:11,ipu_47,Mowie putu teraz,putu,104.064943,0.6432649954648184,1.7032199954648206,0.9032649954648236,1.3461332876403702,1.0466598356185557,1.1451962617676656,1.2340722539805995,1.0132184649527147,1.2153608708415646,1.0483808650562767,1.1549362787614064,106.55541370512968,1,1.032,NA,NA,NA,NA,NA,143.39484015373216,109.9534694878912,35.16240010356198,131.97779681495092,98.53642614910996,88.87599221293385,70.16460907389899,112.06103365977071,187.4124183620438,442.8682921755467,1.0599550000000022,Polish,m,poli1260,41,putu,p,voiceless,u,back,high,t,voiceless,coronal,5.660617667731166,0.2080365709246239,360.0293511568576,813.5051412497214,2534.7721927788652,134.74281188210384
48,pl05,pl05-048,26/05/2017 18:33:14,ipu_48,Mowie pogo teraz,pogo,106.179955,0.6917010317460068,1.701723031745999,0.9637118312440548,1.341434798148967,1.082535168659163,1.1801055514146412,1.251701031745995,1.0511094421412397,1.2202785789192203,1.0835899559335858,1.2260361693195128,142.446213385927,5,1.239,1.2265,1.235,1.206,1.0945,1.2915,118.8233374151082,87.39761089718456,32.48051379234629,128.99610927340177,97.57038275547814,71.59548033135366,40.173027504579295,89.73376640297204,169.1658630868318,377.722966904912,1.0100219999999922,Polish,m,poli1260,36,pogo,p,voiceless,o,back,mid,g,voiced,velar,5.940464663145997,0.4878835663394554,575.2475817939029,962.4752510556854,2257.406890614723,131.34512444821598
49,pl05,pl05-049,26/05/2017 18:33:26,ipu_49,Mowie pata teraz,pata,108.869977,1.257097181405868,2.287075181405868,1.5393636898956942,1.9216375447576013,1.6514247235554649,1.7460969761300902,1.8346936393319169,1.6256493524085869,1.8211150222641803,1.7437138427447083,1.8373435432068133,93.62970046210496,0,1.637,1.8135,1.819,1.802,1.7415,1.8555,112.06103365977071,86.28566251289271,118.06449033612142,120.4476237215033,94.6722525746253,88.59666320182669,75.01804613409035,86.94390542568442,183.268915776452,382.2738548619071,1.0299779999999998,Polish,m,poli1260,25,pata,p,voiceless,a,central,low,t,voiceless,coronal,5.825367143764237,0.3727860469576951,707.5585955928682,1129.7258942492708,2404.0515115348408,134.32812839820303
50,pl05,pl05-050,26/05/2017 18:33:29,ipu_50,Mowie paga teraz,paga,111.129977,0.8700223514738923,1.9299773514738945,1.1388462553853742,1.582260173056369,1.270022351473898,1.4000223514738934,1.4692330960029665,1.241052565802207,1.4463279391750632,1.2682475724027915,1.4474768550125132,179.22928260972148,5,1.255,1.4285,1.438,1.418,1.363,1.5175,131.17609608852376,102.20631041683248,27.19500660058505,158.96978567168674,129.99999999999545,69.21074452907305,46.30558770116977,113.02707705340254,199.2107445290685,443.4139176709948,1.0599550000000022,Polish,m,poli1260,28,paga,p,voiceless,a,central,low,g,voiced,velar,5.660617667731166,0.2080365709246239,737.766390257261,1234.8599740373595,2325.863393159057,134.45307227046317
51,pl05,pl05-051,26/05/2017 18:33:33,ipu_51,Mowie puku teraz,puku,113.109977,0.6441266598639146,1.6741046598639144,0.9241266598639156,1.294903287044875,1.0541266598639112,1.1248796497679765,1.2141266598639078,1.0176452957385038,1.2080315772056167,1.0537238607146089,1.1301893548290205,76.46549411441161,0,1.063,NA,NA,NA,NA,NA,129.99999999999545,93.51863587458809,36.07856497610484,107.23435402947246,70.75298990406509,89.2470100959315,83.15192743764044,80.7766271809669,159.9999999999966,370.77662718095894,1.0299779999999998,Polish,m,poli1260,43,puku,p,voiceless,u,back,high,k,voiceless,velar,5.825367143764237,0.3727860469576951,385.97213711307353,728.2732168765906,2264.2509132966507,145.89565964130662
52,pl05,pl05-052,26/05/2017 18:33:36,ipu_52,Mowie poto teraz,poto,115.394966,0.6767800589568793,1.7267570589568777,0.9353507000985956,1.370038928252043,1.056780058956889,1.162370897599004,1.260907323748114,1.0303661760520697,1.239381710740389,1.0629483862603184,1.1781638209674412,115.2154347071228,1,1.056,1.2195,1.226,1.21,1.1585,1.2675,121.42935885829333,95.01547595347404,32.582210208248696,132.00472154693443,105.59083864211516,98.53642614910996,77.01081314138492,109.13160450392922,204.12726479122512,434.68822815344765,1.0499769999999984,Polish,m,poli1260,33,poto,p,voiceless,o,back,mid,t,voiceless,coronal,5.714410887095631,0.2618297902890889,564.8158270997664,936.778890222727,2542.532394323347,125.50048913363244
53,pl05,pl05-053,26/05/2017 18:33:39,ipu_53,Mowie pudu teraz,pudu,117.344989,0.7692066870747993,1.809160687074808,1.0192066870747991,1.4364503761008225,1.169206687074805,1.249037957738793,1.3192066870747965,1.125759960830692,1.3065707912056723,1.170527891507131,1.4398595573548982,269.3316658477669,5,1.156,NA,NA,NA,NA,NA,150.00000000000568,106.55327375589252,44.76793067643947,123.27799690810082,79.83127066398765,70.16872933600382,57.53283346687965,117.24368902602578,149.99999999999147,417.24368902602293,1.0399540000000087,Polish,m,poli1260,42,pudu,p,voiceless,u,back,high,d,voiced,coronal,5.7694859580327105,0.3169048612261687,387.4319217847512,895.7742456303899,2483.288421644056,136.3435690731791
